ENGLISH,IDGLOSS,SN,SENSE,RECNUMB,TOPIC
"whale","whale.1",1.0000000000000000e+00," ",1.0000000000000000e+00,3
"light","light.2",3.0000000000000000e+00," ",2.0000000000000000e+00,20
"illuminate","light.2",3.0000000000000000e+00," ",2.0000000000000000e+00,20
"doorbell","flashing.doorbell",4.0000000000000000e+00," ",3.0000000000000000e+00,20
"flashing-light doorbell","flashing.doorbell",4.0000000000000000e+00," ",3.0000000000000000e+00,20
"sun","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"sunshine","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"sunny","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"shine","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"radiate","sun",5.0000000000000000e+00,"1",4.0000000000000000e+00,22
"Holy Spirit","Holy Spirit",6.0000000000000000e+00,"2",5.0000000000000000e+00,42
"taxi","taxi.2a",8.0000000000000000e+00," ",6.0000000000000000e+00,50
"christening","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptism","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"christen","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptise","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"christened","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"baptised","christen.1a",9.0000000000000000e+00," ",7.0000000000000000e+00,42
"forget","forget.2a",1.2000000000000000e+01," ",8.0000000000000000e+00,32
"forgetfulness","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"forgetful","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"absent-minded","forgetfulness",1.3000000000000000e+01," ",9.0000000000000000e+00,32
"committee","committee.1a",1.4000000000000000e+01," ",1.0000000000000000e+01,0
"opinion","opinion.1a",1.5000000000000000e+01," ",1.1000000000000000e+01,32
"enlightenment","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"enlightened","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"enlighten","enlighten",1.9000000000000000e+01," ",1.2000000000000000e+01,32
"remembrance","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recollection","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recall","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memory","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memorisation","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"recollect","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"remember","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"memorise","remember.1a",2.2000000000000000e+01," ",1.3000000000000000e+01,32
"influence","influence.1",2.4000000000000000e+01," ",1.4000000000000000e+01,0
"brightness","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"bright","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"brighten","bright",2.7000000000000000e+01," ",1.5000000000000000e+01,10
"sticky-beak","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"curiosity","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nosy","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nosey","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"pry","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"curious","sticky-beak.1a",2.8000000000000000e+01," ",1.6000000000000000e+01,27
"nasty","nasty.person",3.1000000000000000e+01," ",1.7000000000000000e+01,36
"fun","fun",3.2000000000000000e+01," ",1.8000000000000000e+01,18
"oops","fun",3.2000000000000000e+01," ",1.8000000000000000e+01,18
"Hong Kong","Hong Kong",3.2100000000000001e+01," ",1.9000000000000000e+01,8
"traffic lights","traffic lights.1a",3.3000000000000000e+01," ",2.0000000000000000e+01,50
"tan","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"suntan","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"brown","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"tanned","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"sun-tanned","suntan.2",3.4000000000000000e+01," ",2.1000000000000000e+01,36
"station","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"railway station","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"steam train","railway.station",3.6000000000000000e+01," ",2.2000000000000000e+01,50
"supermarket","supermarket",3.8000000000000000e+01," ",2.3000000000000000e+01,47
"smartness","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"intelligence","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"cleverness","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"smart","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"clever","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"bright","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"intelligent","smart",3.9000000000000000e+01," ",2.4000000000000000e+01,27
"comic","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"comic book","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"cartoon","comic.1",4.1000000000000000e+01," ",2.5000000000000000e+01,0
"orange","orange",4.4000000000000000e+01," ",2.6000000000000000e+01,10
"orange juice","orange juice",4.5000000000000000e+01," ",2.7000000000000000e+01,14
"excellence","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"magnificence","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"superb","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"excellent","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"splendid","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"exquisite","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"magnificent","superb",4.9000000000000000e+01," ",2.8000000000000000e+01,27
"food","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"meal","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"eat","eat.1a",5.0000000000000000e+01,"1",2.9000000000000000e+01,14
"dinner","dinner.2",5.1000000000000000e+01,"2",3.0000000000000000e+01,14
"breakfast","breakfast.1",5.2000000000000000e+01," ",3.1000000000000000e+01,14
"dining room","dining room",5.3000000000000000e+01," ",3.2000000000000000e+01,43
"tan","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"suntan","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"brown","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"tanned","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"sun-tanned","suntan.1",5.6000000000000000e+01," ",3.3000000000000000e+01,36
"telltale","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"informer","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"dobber","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"blabbermouth","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"confess","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"tell tales","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"inform","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"dob","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"blab","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"confession","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"pimp","blab.1a",6.1000000000000000e+01," ",3.4000000000000000e+01,2
"shout","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"yell","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"bark","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"blow","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"blow out","shout",6.3000000000000000e+01," ",3.5000000000000000e+01,1
"bullshit","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"rubbish","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"hate","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"loathe","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"yuk","bullshit.2a",6.4000000000000000e+01," ",3.6000000000000000e+01,0
"evil","evil",6.5000000000000000e+01," ",3.7000000000000000e+01,42
"vomit","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"sick","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"throw up","sick.3",6.6000000000000000e+01," ",3.8000000000000000e+01,1
"love-bite","love-bite",6.7000000000000000e+01," ",3.9000000000000000e+01,1
"sago","sago",6.8000000000000000e+01," ",4.0000000000000000e+01,19
"pity","pity.1",6.9000000000000000e+01," ",4.1000000000000000e+01,18
"sorry","pity.1",6.9000000000000000e+01," ",4.1000000000000000e+01,18
"degree","degree",7.2000000000000000e+01," ",4.2000000000000000e+01,0
"evangelism","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"evangelical","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"evangelist","evangelism",7.7000000000000000e+01," ",4.3000000000000000e+01,42
"Europe","Europe",7.9000000000000000e+01," ",4.4000000000000000e+01,8
"European","Europe",7.9000000000000000e+01," ",4.4000000000000000e+01,8
"radiate","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"emit","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"illuminate","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"speaker","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"light","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"heater","emit",8.1000000000000000e+01," ",4.5000000000000000e+01,0
"flash","flash.1",8.2000000000000000e+01," ",4.6000000000000000e+01,0
"percentage","percent.1a",8.5000000000000000e+01," ",4.7000000000000000e+01,4
"per cent","percent.1a",8.5000000000000000e+01," ",4.7000000000000000e+01,4
"perfume","perfume.1a",8.6000000000000000e+01," ",4.8000000000000000e+01,25
"beads","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"beaded necklace","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"necklace","beads.1a",8.7000000000000000e+01," ",4.9000000000000000e+01,9
"doctor","doctor.3",9.0000000000000000e+01," ",5.0000000000000000e+01,26
"Italy","Italy.1a",9.3000000000000000e+01,"1",5.1000000000000000e+01,8
"Italian","Italy.1a",9.3000000000000000e+01,"1",5.1000000000000000e+01,8
"migrant","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"immigrant","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"ethnic","ethnic.1a",9.4000000000000000e+01,"2",5.2000000000000000e+01,36
"flour","flour.1",1.0000000000000000e+02," ",5.3000000000000000e+01,11
"put","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"put away","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"deposit","put.1a",1.0300000000000000e+02," ",5.4000000000000000e+01,0
"put","place.1a",1.0400000000000000e+02," ",5.5000000000000000e+01,0
"place","place.1a",1.0400000000000000e+02," ",5.5000000000000000e+01,0
"something","some.1a",1.0800000000000000e+02," ",5.6000000000000000e+01,39
"some","some.1a",1.0800000000000000e+02," ",5.6000000000000000e+01,39
"bit","some.1a",1.0800000000000000e+02," ",5.6000000000000000e+01,39
"not be","have.none.of.1a",1.0900000000000000e+02," ",5.7000000000000000e+01,0
"not have","have.none.of.1a",1.0900000000000000e+02," ",5.7000000000000000e+01,0
"have none","have.none.of.1a",1.0900000000000000e+02," ",5.7000000000000000e+01,0
"no-one","no-one",1.1000000000000000e+02," ",5.8000000000000000e+01,0
"nobody","no-one",1.1000000000000000e+02," ",5.8000000000000000e+01,0
"fountain","open.up",1.1100000000000000e+02," ",5.9000000000000000e+01,0
"teaching","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"instruction","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"education","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"coach","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"teach","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"instruct","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"educate","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"educational","educate.1a",1.1500000000000000e+02," ",6.0000000000000000e+01,15
"focus","focus",1.1800000000000000e+02," ",6.1000000000000000e+01,0
"telescope","telescope",1.1900000000000000e+02," ",6.2000000000000000e+01,0
"astronomy","telescope",1.1900000000000000e+02," ",6.2000000000000000e+01,0
"astronomer","telescope",1.1900000000000000e+02," ",6.2000000000000000e+01,0
"binoculars","binoculars",1.2000000000000000e+02," ",6.3000000000000000e+01,0
"field glasses","binoculars",1.2000000000000000e+02," ",6.3000000000000000e+01,0
"fury","incensed",1.2100000000000000e+02," ",6.4000000000000000e+01,18
"rage","incensed",1.2100000000000000e+02," ",6.4000000000000000e+01,18
"furious","incensed",1.2100000000000000e+02," ",6.4000000000000000e+01,18
"incensed","incensed",1.2100000000000000e+02," ",6.4000000000000000e+01,18
"enraged","incensed",1.2100000000000000e+02," ",6.4000000000000000e+01,18
"picnic","picnic.1a",1.2300000000000000e+02," ",6.5000000000000000e+01,0
"party","party.1",1.2400000000000000e+02," ",6.6000000000000000e+01,0
"serviette","serviette.2",1.2500000000000000e+02," ",6.7000000000000000e+01,14
"napkin","serviette.2",1.2500000000000000e+02," ",6.7000000000000000e+01,14
"feast","feast",1.2600000000000000e+02," ",6.8000000000000000e+01,14
"smorgasbord","feast",1.2600000000000000e+02," ",6.8000000000000000e+01,14
"buffet","feast",1.2600000000000000e+02," ",6.8000000000000000e+01,14
"mumps","mumps.1a",1.2800000000000000e+02," ",6.9000000000000000e+01,26
"kiss","kiss.2a",1.3200000000000000e+02," ",7.0000000000000000e+01,1
"love","kiss.2a",1.3200000000000000e+02," ",7.0000000000000000e+01,1
"adore","kiss.2a",1.3200000000000000e+02," ",7.0000000000000000e+01,1
"Auslan","Auslan",1.3300000000000000e+02," ",7.1000000000000000e+01,2
"Sign Language","Auslan",1.3300000000000000e+02," ",7.1000000000000000e+01,2
"chat","Auslan",1.3300000000000000e+02," ",7.1000000000000000e+01,2
"yarn","Auslan",1.3300000000000000e+02," ",7.1000000000000000e+01,2
"chinwag","Auslan",1.3300000000000000e+02," ",7.1000000000000000e+01,2
"experiment","experiment",1.3400000000000000e+02," ",7.2000000000000000e+01,15
"evaluation","evaluate",1.3500000000000000e+02," ",7.3000000000000000e+01,15
"evaluate","evaluate",1.3500000000000000e+02," ",7.3000000000000000e+01,15
"clear","clear.1a",1.3600000000000000e+02," ",7.4000000000000000e+01,51
"fine","clear.1a",1.3600000000000000e+02," ",7.4000000000000000e+01,51
"evident","clear.1a",1.3600000000000000e+02," ",7.4000000000000000e+01,51
"bright","clear.1a",1.3600000000000000e+02," ",7.4000000000000000e+01,51
"provision","provide",1.4000000000000000e+02," ",7.5000000000000000e+01,0
"provisions","provide",1.4000000000000000e+02," ",7.5000000000000000e+01,0
"provide","provide",1.4000000000000000e+02," ",7.5000000000000000e+01,0
"bureaucracy","bureaucracy",1.4200000000000000e+02," ",7.6000000000000000e+01,23
"Bible","bible.1",1.4300000000000000e+02," ",7.7000000000000000e+01,42
"heartbeat","heart-throb",1.4400000000000000e+02," ",7.8000000000000000e+01,0
"love","heart-throb",1.4400000000000000e+02," ",7.8000000000000000e+01,0
"beat","heart-throb",1.4400000000000000e+02," ",7.8000000000000000e+01,0
"throb","heart-throb",1.4400000000000000e+02," ",7.8000000000000000e+01,0
"fall in love","heart-throb",1.4400000000000000e+02," ",7.8000000000000000e+01,0
"business","business.2a",1.4500000000000000e+02," ",7.9000000000000000e+01,47
"marketing","marketing",1.4700000000000000e+02," ",8.0000000000000000e+01,47
"market","marketing",1.4700000000000000e+02," ",8.0000000000000000e+01,47
"microscope","microscope.1",1.4900000000000000e+02," ",8.1000000000000000e+01,15
"microbiology","microscope.1",1.4900000000000000e+02," ",8.1000000000000000e+01,15
"fingerspelling","fingerspell.1a",1.5000000000000000e+02," ",8.2000000000000000e+01,2
"spelling","fingerspell.1a",1.5000000000000000e+02," ",8.2000000000000000e+01,2
"fingerspell","fingerspell.1a",1.5000000000000000e+02," ",8.2000000000000000e+01,2
"spell","fingerspell.1a",1.5000000000000000e+02," ",8.2000000000000000e+01,2
"tell off","tell.off",1.5200000000000000e+02," ",8.3000000000000000e+01,2
"blast","tell.off",1.5200000000000000e+02," ",8.3000000000000000e+01,2
"expansion","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"enlargement","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"swelling","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"enlarge","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"expand","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"swell","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"swell up","swell",1.5300000000000000e+02," ",8.4000000000000000e+01,0
"repair","fix.2",1.5500000000000000e+02," ",8.5000000000000000e+01,0
"mend","fix.2",1.5500000000000000e+02," ",8.5000000000000000e+01,0
"fix","fix.2",1.5500000000000000e+02," ",8.5000000000000000e+01,0
"negotiation","negotiate",1.5600000000000000e+02," ",8.6000000000000000e+01,2
"negotiate","negotiate",1.5600000000000000e+02," ",8.6000000000000000e+01,2
"persuade","negotiate",1.5600000000000000e+02," ",8.6000000000000000e+01,2
"plastic","plastic.2",1.5900000000000000e+02," ",8.7000000000000000e+01,31
"flexible","plastic.2",1.5900000000000000e+02," ",8.7000000000000000e+01,31
"bend","plastic.2",1.5900000000000000e+02," ",8.7000000000000000e+01,31
"flexibility","flexible",1.5909999999999999e+02," ",8.8000000000000000e+01,38
"flexible","flexible",1.5909999999999999e+02," ",8.8000000000000000e+01,38
"microwave","microwave",1.6100000000000000e+02," ",8.9000000000000000e+01,11
"microwave oven","microwave",1.6100000000000000e+02," ",8.9000000000000000e+01,11
"office","office",1.6200000000000000e+02," ",9.0000000000000000e+01,52
"tip","tip.into",1.6400000000000000e+02," ",9.1000000000000000e+01,0
"pour","tip.into",1.6400000000000000e+02," ",9.1000000000000000e+01,0
"science","science.1a",1.6600000000000000e+02," ",9.2000000000000000e+01,15
"scientist","science.1a",1.6600000000000000e+02," ",9.2000000000000000e+01,15
"scientific","science.1a",1.6600000000000000e+02," ",9.2000000000000000e+01,15
"apricot","apricot",1.6800000000000000e+02," ",9.3000000000000000e+01,19
"soil","soil",1.6900000000000000e+02," ",9.4000000000000000e+01,0
"earth","soil",1.6900000000000000e+02," ",9.4000000000000000e+01,0
"dirt","soil",1.6900000000000000e+02," ",9.4000000000000000e+01,0
"juggler","juggle",1.7000000000000000e+02," ",9.5000000000000000e+01,0
"juggle","juggle",1.7000000000000000e+02," ",9.5000000000000000e+01,0
"waste","waste",1.7100000000000000e+02," ",9.6000000000000000e+01,0
"squander","waste",1.7100000000000000e+02," ",9.6000000000000000e+01,0
"budget","budgeting",1.7300000000000000e+02," ",9.7000000000000000e+01,23
"budgeting","budgeting",1.7300000000000000e+02," ",9.7000000000000000e+01,23
"economy","budgeting",1.7300000000000000e+02," ",9.7000000000000000e+01,23
"economics","budgeting",1.7300000000000000e+02," ",9.7000000000000000e+01,23
"economic","budgeting",1.7300000000000000e+02," ",9.7000000000000000e+01,23
"give up","give.up",1.7400000000000000e+02," ",9.8000000000000000e+01,52
"yield","give.up",1.7400000000000000e+02," ",9.8000000000000000e+01,52
"retire","give.up",1.7400000000000000e+02," ",9.8000000000000000e+01,52
"give in","give.up",1.7400000000000000e+02," ",9.8000000000000000e+01,52
"surrender","give.up",1.7400000000000000e+02," ",9.8000000000000000e+01,52
"ignite","burst.into.flames",1.7600000000000000e+02," ",9.9000000000000000e+01,0
"burst into flames","burst.into.flames",1.7600000000000000e+02," ",9.9000000000000000e+01,0
"spill","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"spillage","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"dispersal","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"dissemination","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"spread","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"spread out","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"disperse","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"disseminate","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"epidemic","spill",1.7700000000000000e+02," ",1.0000000000000000e+02,0
"pipe","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"pole","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"bar","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"rod","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"degree","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"diploma","pipe.2a",1.7900000000000000e+02," ",1.0100000000000000e+02,0
"pack","pack",1.8200000000000000e+02," ",1.0200000000000000e+02,0
"packer","pack",1.8200000000000000e+02," ",1.0200000000000000e+02,0
"pack up","pack",1.8200000000000000e+02," ",1.0200000000000000e+02,0
"put away","put.away",1.8300000000000000e+02," ",1.0300000000000000e+02,0
"pack up","put.away",1.8300000000000000e+02," ",1.0300000000000000e+02,0
"arrange","put.away",1.8300000000000000e+02," ",1.0300000000000000e+02,0
"Greece","Greece.2",1.8400000000000000e+02," ",1.0400000000000000e+02,8
"Greek","Greece.2",1.8400000000000000e+02," ",1.0400000000000000e+02,8
"move","move-motion.1",1.8600000000000000e+02," ",1.0500000000000000e+02,2
"fig","fig",1.8800000000000000e+02," ",1.0600000000000000e+02,19
"nail-brush","nail-brush",1.8900000000000000e+02," ",1.0700000000000000e+02,25
"headlights","headlights",1.9100000000000000e+02," ",1.0800000000000000e+02,7
"exhaust pipe","exhaust pipe",1.9200000000000000e+02," ",1.0900000000000000e+02,7
"exhaust","exhaust pipe",1.9200000000000000e+02," ",1.0900000000000000e+02,7
"environment","environment",1.9300000000000000e+02," ",1.1000000000000000e+02,15
"environmental","environment",1.9300000000000000e+02," ",1.1000000000000000e+02,15
"transfer","transfer",1.9500000000000000e+02," ",1.1100000000000000e+02,52
"lamp","lamp",1.9600000000000000e+02," ",1.1200000000000000e+02,20
"alarm","flashing-light.alarm",1.9700000000000000e+02," ",1.1300000000000000e+02,13
"flashing-light alarm","flashing-light.alarm",1.9700000000000000e+02," ",1.1300000000000000e+02,13
"ejaculation","ejaculate",1.9800000000000000e+02," ",1.1400000000000000e+02,45
"orgasm","ejaculate",1.9800000000000000e+02," ",1.1400000000000000e+02,45
"semen","ejaculate",1.9800000000000000e+02," ",1.1400000000000000e+02,45
"sperm","ejaculate",1.9800000000000000e+02," ",1.1400000000000000e+02,45
"ejaculate","ejaculate",1.9800000000000000e+02," ",1.1400000000000000e+02,45
"knob","knob.1a",1.9900000000000000e+02," ",1.1500000000000000e+02,0
"stone","knob.1a",1.9900000000000000e+02," ",1.1500000000000000e+02,0
"berry","knob.1a",1.9900000000000000e+02," ",1.1500000000000000e+02,0
"bead","knob.1a",1.9900000000000000e+02," ",1.1500000000000000e+02,0
"submission","submission.1a",2.0000000000000000e+02," ",1.1600000000000000e+02,0
"application","submission.1a",2.0000000000000000e+02," ",1.1600000000000000e+02,0
"fill out","submission.1a",2.0000000000000000e+02," ",1.1600000000000000e+02,0
"fill in","submission.1a",2.0000000000000000e+02," ",1.1600000000000000e+02,0
"apply","submission.1a",2.0000000000000000e+02," ",1.1600000000000000e+02,0
"counsellor","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"counselling","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"advice","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"consultant","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"counsel","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"advise","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"influence","counsel.1a",2.0400000000000000e+02," ",1.1700000000000000e+02,2
"projector","projector.1a",2.0500000000000000e+02," ",1.1800000000000000e+02,0
"project","projector.1a",2.0500000000000000e+02," ",1.1800000000000000e+02,0
"overhead-projector","overhead-projector",2.0700000000000000e+02," ",1.1900000000000000e+02,15
"project","overhead-projector",2.0700000000000000e+02," ",1.1900000000000000e+02,15
"antiseptic","dab.1a",2.0800000000000000e+02," ",1.2000000000000000e+02,26
"dab","dab.1a",2.0800000000000000e+02," ",1.2000000000000000e+02,26
"goose pimples","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"goose bumps","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"goose flesh","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"thrill","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"frisson","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"hair-raising","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"thrilled","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"thrilling","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"spine-chilling","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"frightening","goose pimples",2.0900000000000000e+02," ",1.2100000000000000e+02,18
"whale","whale.2",2.1200000000000000e+02," ",1.2200000000000000e+02,3
"cache","stash",2.1300000000000000e+02," ",1.2300000000000000e+02,0
"stash","stash",2.1300000000000000e+02," ",1.2300000000000000e+02,0
"secrete","stash",2.1300000000000000e+02," ",1.2300000000000000e+02,0
"hide away","stash",2.1300000000000000e+02," ",1.2300000000000000e+02,0
"conceal","stash",2.1300000000000000e+02," ",1.2300000000000000e+02,0
"sunrise","sunrise.1a",2.1400000000000000e+02," ",1.2400000000000000e+02,49
"dawn","sunrise.1a",2.1400000000000000e+02," ",1.2400000000000000e+02,49
"daybreak","sunrise.1a",2.1400000000000000e+02," ",1.2400000000000000e+02,49
"rise","sunrise.1a",2.1400000000000000e+02," ",1.2400000000000000e+02,49
"sunset","sunset.1a",2.1500000000000000e+02," ",1.2500000000000000e+02,49
"set","sunset.1a",2.1500000000000000e+02," ",1.2500000000000000e+02,49
"leader","leader.1a",2.1600000000000000e+02," ",1.2600000000000000e+02,0
"guide","leader.1a",2.1600000000000000e+02," ",1.2600000000000000e+02,0
"leadership","leader.1a",2.1600000000000000e+02," ",1.2600000000000000e+02,0
"lead","leader.1a",2.1600000000000000e+02," ",1.2600000000000000e+02,0
"blister","blister",2.1800000000000000e+02," ",1.2700000000000000e+02,26
"boil","blister",2.1800000000000000e+02," ",1.2700000000000000e+02,26
"cyst","blister",2.1800000000000000e+02," ",1.2700000000000000e+02,26
"dip","savoury-dip",2.1900000000000000e+02," ",1.2800000000000000e+02,19
"savoury-dip","savoury-dip",2.1900000000000000e+02," ",1.2800000000000000e+02,19
"scoop up","savoury-dip",2.1900000000000000e+02," ",1.2800000000000000e+02,19
"sort","sort",2.2000000000000000e+02," ",1.2900000000000000e+02,0
"sort out","sort",2.2000000000000000e+02," ",1.2900000000000000e+02,0
"seed","seed",2.2100000000000000e+02," ",1.3000000000000000e+02,0
"sow","seed",2.2100000000000000e+02," ",1.3000000000000000e+02,0
